Organization Name,Location,Tax Identification Number,KCEGP Code,Website,Short Description,Category,Category 3,Category 2,Link 1,Link 2,Link 3,Link 4,Status,Community of Opportunity,Current Pledges,Link 1 description,Link 2 description,Link 3 description,Link 4 description,Communities Served 1,Communities Served 2,Communities Served 3
Snow Leopard Trust,"4649 Sunnyside Ave N Ste 325
Seattle, WA 98103
(47.663827984, -122.331308966)",91-1144119,2725,https://www.snowleopard.org,"Nearly extinct due to poaching, loss of habitat and food, and lack of protection. Our tireless work can protect these majestic cats. Help save them!",Animals,,Environment,,https://www.guidestar.org/profile/91-1144119,,,Returning,,,,https://www.guidestar.org/profile/91-1144119,,,,,
Cares of Washington,"1833 N 105th Ste 202
Seattle, WA 98133
(47.704855012, -122.334442037)",13-4237286,9274,https://www.caresofwa.org,"Our mission is to support people with disabilities and low incomes to realize their purpose, potential, and strength.",Housing & Employment,Social & Economic Justice,"Mental Health, Disabilities, & Substance Abuse",,https://www.guidestar.org/organizations/13-4237286/cares-washington.aspx,,,Returning,,,,https://www.guidestar.org/organizations/13-4237286/cares-washington.aspx,,,People With Disabilities,Women & Girls,"Black, African American, African"
Assistance League of Seattle,"1415 N 45th St
Seattle, WA 98103
(47.661176998, -122.33992397)",91-6055119,9611,https://seattle.assistanceleague.org,All-volunteer organization that removes barriers to education for children and adults in Seattle through our three philanthropic programs.,Education & Literacy,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=916055119,https://www.guidestar.org/profile/916055119,https://www.bbb.org/western-washington/charity-reviews/charity-community-development-and-civic-organizations/assistance-league-of-seattle-washington-in-seattle-wa-1000051387,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=916055119,https://www.guidestar.org/profile/916055119,https://www.bbb.org/western-washington/charity-reviews/charity-community-development-and-civic-organizations/assistance-league-of-seattle-washington-in-seattle-wa-1000051387,,Children & Youth,Economically Disadvantaged People,
Stewardship Partners,"80 Yesler Way Ste 315
Seattle, WA 98104
(47.601976999, -122.335161037)",91-1939506,10825,https://www.stewardshippartners.org/,Creates people-based solutions that engage Puget Sound communities as caretakers of the land and water that sustain us.,Environment,,,https://www.charitynavigator.org/ein/911939506,https://www.guidestar.org/profile/91-1939506,,,Returning,,,https://www.charitynavigator.org/ein/911939506,https://www.guidestar.org/profile/91-1939506,,,Economically Disadvantaged People,Children & Youth,
Water.org,"177 W 20th St Ste 203
Kansas City, MO 64108
(39.089118341, -94.585949396)",58-2060131,2924,https://water.org,An international nonprofit organization that has positively transformed millions of lives around the world with access to safe water and sanitation.,International Relief & Development,Poverty Relief,Environment,,https://www.guidestar.org/profile/58-2060131,,,NEW,,,,https://www.guidestar.org/profile/58-2060131,,,,,
Ryther,"2400 NE 95th St
Seattle, WA 98115
(47.698047984, -122.303249958)",91-0564983,9248,https://www.ryther.org,We provide exceptional therapeutic services to young people who are struggling emotionally and behaviorally so they may find a path to healing and hope.,"Mental Health, Disabilities, & Substance Abuse",,Youth Development,,https://www.guidestar.org/profile/91-0564983,,,New,,,,https://www.guidestar.org/profile/91-0564983,,,Children & Youth,,
Project SeaWolf Coastal Protection,"Marysville Post Office, PO Box 929
Marysville, WA 98270
(48.05742, -122.17624)",91-1877519,9476,https://www.projectseawolf.org,"A 100% volunteer run environmental and marine wildlife protection group, our educational, youth, and wildlife advocacy programs protect orca whale ecosystems in the PNW.",Animals,"Science & Technology Research, Institutions, & Services",Environment,,https://www.guidestar.org/profile/91-1877519,,,Returning,,,,https://www.guidestar.org/profile/91-1877519,,,Children & Youth,Economically Disadvantaged People,People With Disabilities
Camelot Society,"6912 220th St SW Ste 301
Mountlake Terrace, WA 98043
(47.798418006, -122.326255013)",91-0866842,9852,https://www.camelotsociety.org,"We positively impact the lives of adults with disabilities by empowering them to live extraordinary lives, by inspiring hope, and by fostering growth.","Mental Health, Disabilities, & Substance Abuse",Housing & Employment,Human & Civil Rights,,https://www.guidestar.org/profile/91-0866842,,,Returning,,,,https://www.guidestar.org/profile/91-0866842,,,People With Disabilities,Economically Disadvantaged People,Seniors
Seattle CityClub,"1301 Fifth Ave Ste 1500
Seattle, WA 98101
(47.608956987, -122.334729034)",91-1148262,9507,https://www.seattlecityclub.org,"Our mission is to inform, connect, & engage the public to strengthen the civic health of our region, by engaging residents & community leaders, & providing non-partisan programs.",Community Development,Human & Civil Rights,Education & Literacy,,,,,New,,,,,,,Economically Disadvantaged People,Women & Girls,"Black, African American, African"
Empact International,"PO Box 542
Kingston, WA 98346
(47.8019, -122.50156)",27-2879330,10108,https://www.empactnorthwest.org,"Provides rescue, medical, and logistical support to those affected by disaster worldwide; gives preparedness support to communities in need and professional rescue training.",Emergency & Disaster Services,Health (General),International Relief & Development,https://www.charitynavigator.org/ein/272879330,https://www.guidestar.org/profile/27-2879330,,,Returning,,,https://www.charitynavigator.org/ein/272879330,https://www.guidestar.org/profile/27-2879330,,,"Immigrants, Migrants, Refugees",Economically Disadvantaged People,Women & Girls
FIUTS,"909 NE 43rd St Ste 210
Seattle, WA 98105
(47.659306995, -122.31807897)",91-0646781,9144,https://www.fiuts.org,"Advances international understanding in the Puget Sound region through cross-cultural experiences, student leadership, and community connections.","Arts, Culture, & Humanities",Education & Literacy,Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910646781,https://www.guidestar.org/profile/91-0646781,https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/foundation-for-international-understanding-through-students-in-seattle-wa-90006942,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910646781,https://www.guidestar.org/profile/91-0646781,https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/foundation-for-international-understanding-through-students-in-seattle-wa-90006942,,"Immigrants, Migrants, Refugees","Asian, Asian American",Children & Youth
Seattle Aquarium,"1483 Alaskan Way Pier 59
Seattle, WA 98101-2015
(47.608220008, -122.344136966)",91-1189249,9424,https://www.seattleaquarium.org/,"We are the largest marine conservation education platform in Washington State, where people of all ages and walks of life come to experience the wonder of the marine environment.",Animals,"Arts, Culture, & Humanities",Environment,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5768,https://www.guidestar.org/profile/91-1189249,https://www.bbb.org/charity-reviews/greatwestpacific/seattle-aquarium-in-seattle-wa-22443785,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5768,https://www.guidestar.org/profile/91-1189249,https://www.bbb.org/charity-reviews/greatwestpacific/seattle-aquarium-in-seattle-wa-22443785,,,,
Boys & Girls Clubs of King County,"220 W Mercer St Ste 410
Seattle, WA 98119-4347
(47.62489702, -122.360331976)",91-0532600,9235,https://www.positiveplace.org,"A safe and fun place for kids and teens, providing after-school programs and summer camps; STEM learning; healthy meals; and leadership opportunities at 31 Clubs in King County.",Youth Development,"Recreation, Sports, Leisure, & Athletics",Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7382,https://www.guidestar.org/profile/91-0532600,https://www.bbb.org/charity-reviews/greatwestpacific/boys-girls-clubs-of-king-county-in-seattle-wa-22171657,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7382,https://www.guidestar.org/profile/91-0532600,https://www.bbb.org/charity-reviews/greatwestpacific/boys-girls-clubs-of-king-county-in-seattle-wa-22171657,,Children & Youth,Economically Disadvantaged People,
Encompass,"9050 384th Ave SE
Snoqualmie, WA 98065
(47.51929799, -121.827906026)",91-0825232,9408,https://www.encompassnw.org,"Early Learning, Pediatric Therapy and Family Enrichment programs are offered for children ages 0-8 and their families so they get the right start and thrive for a lifetime.",Youth Development,"Disease, Disorders, & Medical Research",Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15162#.VTV6MSFViko,https://www.guidestar.org/profile/91-0825232,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15162#.VTV6MSFViko,https://www.guidestar.org/profile/91-0825232,,,Children & Youth,,
End of Life Washington,"9311 SE 36th St Ste 110
Mercer Island, WA 98040
(47.577657996, -122.212788017)",91-1412987,9161,https://www.endoflifewa.org,"Supports Washingtonians' right to the full range of end of life choices, including Medical Aid In Dying (MAID), through education, advocacy, and support.",Health (General),Human & Civil Rights,Legal Advocacy,https://www.charitynavigator.org/ein/911412987,https://www.guidestar.org/profile/91-1412987,,,Returning,,,https://www.charitynavigator.org/ein/911412987,https://www.guidestar.org/profile/91-1412987,,,,,
Abu-bakr Islamic Center of Washington & Abu-Bakr Academy,"14101 Tukwila Int Blvd S
Tukwila, WA 98168
(47.477016988, -122.284679013)",91-2110135,10876,https://www.abicwa.org,"Serves the spiritual, religious and communal needs of the Muslims and the surrounding community.",Spiritual Development,Community Development,Youth Development,https://www.charitynavigator.org/index.cfm?keyword_list=912110135&bay=search.results,,,,Returning,,,https://www.charitynavigator.org/index.cfm?keyword_list=912110135&bay=search.results,,,,"Immigrants, Migrants, Refugees",Women & Girls,"Black, African American, African"
Multi-Communities,"4742 42nd Ave SW #264
Seattle, WA 98116
(47.560291992, -122.384491974)",54-2147082,10027,https://www.multicommunities.org,A black-led organization that addresses gender based violence/other traumas in African American faith/other communities utilizing Black males as allies.,Social & Economic Justice,Emergency & Disaster Services,Human & Civil Rights,,,,,Returning,,,,,,,"Black, African American, African",Economically Disadvantaged People,Women & Girls
Puget Sound Community School,"660 S Dearborn St
Seattle, WA 98134
(47.596417995, -122.324156017)",91-1646126,10867,https://pscs.org,"Small independent middle and high school, focused on fostering community-centered education, critical curriculum, student choice, accountability, and collaborative leadership.",Education & Literacy,Community Development,Youth Development,https://www.charitynavigator.org/ein/911646126,https://www.guidestar.org/Profile/8329975,,,Returning,,,https://www.charitynavigator.org/ein/911646126,https://www.guidestar.org/Profile/8329975,,,Children & Youth,LGBTQIA,"Black, African American, African"
Denise Louie Education Center,"5333 15th Ave S Ste 1K
Seattle, WA 98108
(47.553762993, -122.313789028)",91-1016974,9334,https://www.deniselouie.org,Ensuring school and life readiness among children and their families through delivering multicultural early learning and support services in King County.,Education & Literacy,Community Development,Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911016974,https://www.guidestar.org/profile/91-1016974,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911016974,https://www.guidestar.org/profile/91-1016974,,,Children & Youth,"Immigrants, Migrants, Refugees",Economically Disadvantaged People
Kandelia,"3829B S Edmunds St
Seattle, WA 98118
(47.558586637, -122.284862079)",91-1122532,9493,https://www.kandelia.org/,"We remove barriers to opportunities so immigrant and refugee communities can flourish without compromising values, heritage or ethnicity.",Youth Development,Community Development,Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911122532,https://www.guidestar.org/profile/91-1122532,https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/vietnamese-friendship-association-in-seattle-wa-22962173,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911122532,https://www.guidestar.org/profile/91-1122532,https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/vietnamese-friendship-association-in-seattle-wa-22962173,,"Immigrants, Migrants, Refugees",Children & Youth,Economically Disadvantaged People
LAZ Foundation,"8433 S 122nd St
Seattle, WA 98178
(47.49375502, -122.226239965)",83-4566480,10063,https://www.zphib-laz-seattle.org,"This foundation was organized to award scholarships to area high school students; provide community service and further endeavors of Zeta Phi Beta Sorority, Inc.",Youth Development,Community Development,Education & Literacy,,,,,Returning,,,,,,,Women & Girls,"Black, African American, African",Seniors
REACH Renton,"3604 NE 10th Ct
Renton, WA 98056
(47.500314991, -122.170725028)",46-1187669,9958,https://www.reachrenton.org/,"Making a difference in our community with two vital programs: an emergency shelter for families and single women, and a meal site offering nutritious meals 7 days a week.",Food & Hunger,Health (General),Emergency & Disaster Services,https://www.charitynavigator.org/ein/461187669,https://www.guidestar.org/profile/46-1187669,,,New,,,https://www.charitynavigator.org/ein/461187669,https://www.guidestar.org/profile/46-1187669,,,Women & Girls,Economically Disadvantaged People,Children & Youth
Vashon Wilderness Program,"PO Box 712
Vashon, WA 98070
(47.44873, -122.46049)",42-1625469,10195,https://vashonwilderness.org,"Provides nature immersion experiences that cultivate a deep relationship between self, community and the natural world.",Youth Development,Environment,Education & Literacy,,,,,New,,,,,,,Children & Youth,,
Church Council of Greater Seattle,"4820 S Morgan St
Seattle, WA 98118
(47.544669005, -122.271919997)",91-0460490,9266,https://thechurchcouncil.org,"We build collective power through community organizing toward liberation and justice. Focused on housing and equitable land use, immigrant rights & accompaniment, & local advocacy.",Social & Economic Justice,Housing & Employment,Human & Civil Rights,https://www.charitynavigator.org/index.cfm?keyword_list=91-0460490&bay=search.results,https://www.guidestar.org/profile/91-0460490,,,Returning,,,https://www.charitynavigator.org/index.cfm?keyword_list=91-0460490&bay=search.results,https://www.guidestar.org/profile/91-0460490,,,"Immigrants, Migrants, Refugees",Economically Disadvantaged People,"Latino/Latina/Latinx, Hispanic"
"International Rescue Committee, Inc.","122 E 42nd St 12th Fl
New York, NY 10168
(40.751449378, -73.976464855)",13-5660870,3524,https://www.rescue.org,"Responding to the world’s worst humanitarian crises, helping people to survive, recover and gain control of their future.",Health (General),Community Development,Emergency & Disaster Services,https://www.charitynavigator.org/ein/135660870,https://www.guidestar.org/profile/13-5660870,https://www.give.org/charity-reviews/national/relief-and-development/international-rescue-committee-in-new-york-ny-3041,,Returning,,,https://www.charitynavigator.org/ein/135660870,https://www.guidestar.org/profile/13-5660870,https://www.give.org/charity-reviews/national/relief-and-development/international-rescue-committee-in-new-york-ny-3041,,"Immigrants, Migrants, Refugees",Economically Disadvantaged People,Women & Girls
Central Branch Preschool,"3605 S Mount Baker Blvd
Seattle, WA 98144
(47.577492604, -122.288238)",91-0882254,9537,https://centralbranch.org,To provide a play-based preschool experience that encourages children to develop meaningful and deep relationships.,Education & Literacy,Community Development,Social & Economic Justice,https://www.charitynavigator.org/index.cfm?keyword_list=910882254&bay=search.results,https://www.guidestar.org/profile/91-0882254,,,Returning,,,https://www.charitynavigator.org/index.cfm?keyword_list=910882254&bay=search.results,https://www.guidestar.org/profile/91-0882254,,,Children & Youth,"Black, African American, African","Asian, Asian American"
Pawsitive Alliance,"14150 NE 20th F1-233
Bellevue, WA 98007
(47.628336995, -122.151481017)",84-1679356,2757,https://www.pawsitivealliance.org,"We increase adoptions, spay/neuter surgeries and pet retention to end pet homelessness and suffering in Washington, helping 8,000+ pets find loving homes!",Animals,,,,https://www.guidestar.org/profile/84-1679356,,,Returning,,,,https://www.guidestar.org/profile/84-1679356,,,,,
Tacoma Community House,"PO Box 5107
Tacoma, WA 98415
(47.25514, -122.44164)",91-0570872,9384,https://www.tacomacommunityhouse.org,"TCH creates opportunities for immigrants and other community members in the Puget Sound region through comprehensive services focused on self-sufficiency, inclusion and advocacy.",Human & Civil Rights,Housing & Employment,Social & Economic Justice,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910570872,https://www.guidestar.org/profile/91-0570872,https://www.give.org/search/?term=tacoma%20community%20house,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910570872,https://www.guidestar.org/profile/91-0570872,https://www.give.org/search/?term=tacoma%20community%20house,,"Immigrants, Migrants, Refugees",Economically Disadvantaged People,Children & Youth
Renton Technical College (RTC) Foundation,"3000 NE 4th St
Renton, WA 98056
(47.489167982, -122.177402974)",91-1590751,9747,https://foundation.rtc.edu,"To change lives by supporting career training, educational advancement, and program success at RTC.",Education & Literacy,Food & Hunger,Community Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911590751,https://www.guidestar.org/profile/91-1590751,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911590751,https://www.guidestar.org/profile/91-1590751,,,Economically Disadvantaged People,"Immigrants, Migrants, Refugees","Latino/Latina/Latinx, Hispanic"
Canine Partners for Life,"334 Faggs Manor Rd, PO Box 170
Cochranville, PA 19330
(39.864565232, -75.908084501)",23-2580658,5085,https://www.k94life.org,Funds research for new & better therapies for children's cancers & hosts opportunities for leaders across the pediatric cancer ecosystem.,"Mental Health, Disabilities, & Substance Abuse",,Animals,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6828,https://www.guidestar.org/profile/23-2580658,,https://greatnonprofits.org/org/canine-partners-for-life,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6828,https://www.guidestar.org/profile/23-2580658,,https://greatnonprofits.org/org/canine-partners-for-life,,,
A Giving and Caring Heart,"305 E Main St
Plymouth, IL 62367
(40.292019998, -90.91559799)",84-2363727,10154,https://www.givingandcaringheart.org,"Our mission is supporting the community by providing programs that support the needs of the Community. Programs may include Food support, Utilities assistance, emergency shelter.",Housing & Employment,Community Development,Food & Hunger,https://www.charitynavigator.org/ein/842363727,,,,New,,,https://www.charitynavigator.org/ein/842363727,,,,"Black, African American, African",Children & Youth,"Asian, Asian American"
WestSide Baby,"10002 14th Ave SW
Seattle, WA 98146
(47.513375002, -122.352306974)",91-2124405,9431,https://www.westsidebaby.org,"In partnership with our community, we provide essential items to children in King County by collecting and distributing diapers, clothing, and equipment.",Youth Development,,Social & Economic Justice,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13855#.Vwwgi5wrIdU,https://www.guidestar.org/profile/91-2124405,https://www.bbb.org/charity-reviews/greatwestpacific/westside-baby-in-seattle-wa-90006301in-seattle-wa-90006301,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13855#.Vwwgi5wrIdU,https://www.guidestar.org/profile/91-2124405,https://www.bbb.org/charity-reviews/greatwestpacific/westside-baby-in-seattle-wa-90006301in-seattle-wa-90006301,,Children & Youth,,
Lavender Rights Project,"911 E Pike St #314
Seattle, WA 98122
(47.613895017, -122.320355998)",81-0969007,10947,https://www.lavenderrightsproject.org,"Elevating the power, autonomy, and leadership of the Black intersex & gender diverse community through intersectional legal and social services.",Human & Civil Rights,Legal Advocacy,Social & Economic Justice,https://www.charitynavigator.org/ein/810969007,https://www.guidestar.org/profile/81-0969007,,,Returning,,,https://www.charitynavigator.org/ein/810969007,https://www.guidestar.org/profile/81-0969007,,,LGBTQIA,"Black, African American, African",Economically Disadvantaged People
Congolese Integration Network (CIN),"19550 International Blvd Ste 103
SeaTac, WA 98188
(47.427130876, -122.293522173)",81-3511834,10002,https://cinseattle.org/,"Our mission: educate, usher and lead for a thriving community. Vision: empower a generation. Values: we recognize that we are immigrants and refugees and protect the most vulnerable.",Community Development,Youth Development,Housing & Employment,https://www.charitynavigator.org/ein/813511834,https://www.guidestar.org/profile/81-3511834,,,Returning,,,https://www.charitynavigator.org/ein/813511834,https://www.guidestar.org/profile/81-3511834,,,"Black, African American, African","Immigrants, Migrants, Refugees",Children & Youth
University District Food Bank,"5017 Roosevelt Way NE
Seattle, WA 98105
(47.665636003, -122.317729025)",91-1224834,10139,https://www.udistrictfoodbank.org,"Provides healthy food to NE Seattle families through a walk-in food bank, home delivery program, two satellite pantries, a rooftop farm, and weekend food bags for school aged kids",Food & Hunger,,Poverty Relief,https://www.charitynavigator.org/ein/911224834,https://www.guidestar.org/profile/91-1224834,,,Returning,,,https://www.charitynavigator.org/ein/911224834,https://www.guidestar.org/profile/91-1224834,,,Economically Disadvantaged People,Children & Youth,Seniors
The Kavana Cooperative,"PO Box 19666
Seattle, WA 98109
(47.632405, -122.34848)",83-0448252,9981,https://www.kavana.org,"An independent Jewish community in Seattle that is building an innovative, model community that empowers each of us to create a meaningful Jewish life and a positive identity.",Spiritual Development,,,,,,,Returning,,,,,,,,,
501 Commons,"Pacific Tower, 1200 12th Ave S Ste 1101
Seattle, WA 98144-2712
(47.592862014, -122.315733965)",94-3089631,9527,https://www.501commons.org,"Provides finance, management, fundraising, HR, IT, & data services to more than 2000 nonprofits each year, so ALL people and communities flourish. Produces GiveBIG.",Community Development,Social & Economic Justice,"Arts, Culture, & Humanities",https://www.charitynavigator.org/ein/943089631,https://www.guidestar.org/profile/94-3089631,https://www.bbb.org/charity-reviews/greatwestpacific/501-commons-in-seattle-wa-22828856,,Returning,,,https://www.charitynavigator.org/ein/943089631,https://www.guidestar.org/profile/94-3089631,https://www.bbb.org/charity-reviews/greatwestpacific/501-commons-in-seattle-wa-22828856,,Economically Disadvantaged People,Children & Youth,
Purrfect Pals,"230 McRae Rd NE
Arlington, WA 98223
(48.142218989, -122.228011984)",94-3127448,9221,https://www.purrfectpals.org,"Through placement and prevention programs, Purrfect Pals works to end cat homelessness in the Puget Sound region - because every cat matters. Our priority is special needs cats.",Animals,,,,https://www.guidestar.org/profile/94-3127448,https://www.give.org/search/?term=purrfect%20pals,,Returning,,,,https://www.guidestar.org/profile/94-3127448,https://www.give.org/search/?term=purrfect%20pals,,,,
Community Lunch on Capitol Hill,"509 10th Ave E
Seattle, WA 98102
(47.623358019, -122.320306041)",05-0566668,10190,https://www.communitylunch.org,"We provide hot meals, clothing, blankets and sleeping bags and other life sustaining services to those experiencing homelessness and economic hardship in an inclusive environment.",Food & Hunger,Social & Economic Justice,Poverty Relief,,,,,New,,,,,,,Economically Disadvantaged People,,
SIGN Fracture Care,"451 Hills St Ste B
Richland, WA 99354
(46.338097982, -119.271465959)",91-1952283,10929,https://signfracturecare.org/,"We build sustainable orthopaedic capacity in developing countries by providing relevant education to surgeons, then donating the instruments and implants needed to treat fractures.",Health (General),Emergency & Disaster Services,International Relief & Development,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12242,https://www.guidestar.org/profile/91-1952283,https://give.org/charity-reviews/national/Health/SIGN-Fracture-Care-International-in-Richland-wa-24928,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12242,https://www.guidestar.org/profile/91-1952283,https://give.org/charity-reviews/national/Health/SIGN-Fracture-Care-International-in-Richland-wa-24928,,"Black, African American, African","Asian, Asian American",People With Disabilities
USO Northwest,"17801 International Blvd, Mezzanine Level
Seattle, WA 98158
(47.443593353, -122.302201466)",13-1610451,9585,https://www.northwest.uso.org,"Our mission is to strengthen America's military service members by keeping them connected to family, home and country, throughout their service to the nation.",Health (General),"Arts, Culture, & Humanities",Food & Hunger,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=131610451,https://www.guidestar.org/profile/13-1610451,https://www.bbb.org/charity-reviews/greatwestpacific/uso-northwest-in-seatac-wa-22941918,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=131610451,https://www.guidestar.org/profile/13-1610451,https://www.bbb.org/charity-reviews/greatwestpacific/uso-northwest-in-seatac-wa-22941918,,Veterans & Military,Children & Youth,Women & Girls
Gluten Intolerance Group of North America,"31214 124 Ave SE
Auburn, WA 98092
(47.321963011, -122.176046028)",91-1458226,2719,https://www.gluten.org,"Gluten causes long-term, life-threatening health complications. Monitoring the food supply is critical. GIG educates and audits food companies for the consumer's food safety.",Health (General),,Legal Advocacy,,https://www.guidestar.org/profile/91-1458226,,,Returning,,,,https://www.guidestar.org/profile/91-1458226,,,,,
George Pocock Rowing Foundation,"3320 Fuhrman Ave E
Seattle, WA 98102
(47.652041981, -122.321756027)",91-1276445,10950,https://www.pocockfoundation.org,To help young people access and experience the life changing sport of rowing. To build and support an inclusive rowing community that is accessible for all young people.,"Recreation, Sports, Leisure, & Athletics",Health (General),Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911276445,https://www.guidestar.org/profile/91-1276445,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911276445,https://www.guidestar.org/profile/91-1276445,,,Children & Youth,Economically Disadvantaged People,
Chad's Legacy Project,"PO Box 16689
Seattle, WA 98116
(47.56484, -122.38679)",81-3696910,10899,https://www.chadslegacy.org,Dedicated to the advancement of mental health education and innovations in the evaluation and treatment of mental illness.,Health (General),"Disease, Disorders, & Medical Research",Education & Literacy,,https://www.guidestar.org/profile/81-3696910,,,Returning,,,,https://www.guidestar.org/profile/81-3696910,,,,,
Nick of Time Foundation,"PO Box 14178
MIll Creek, WA 98082
(47.8541533, -122.22047)",20-4200756,10171,https://www.nickoftimefoundation.org,"Heart health awareness for young people, early detection of undiagnosed heart abnormalities, emergency action planning for schools and communities that includes CPR/AED training.",Health (General),,,,https://www.guidestar.org/profile/20-4200756,,,New,,,,https://www.guidestar.org/profile/20-4200756,,,Children & Youth,Economically Disadvantaged People,
Greater Maple Valley Community Center,"22010 SE 248th St
Maple Valley, WA 98038
(47.380358012, -122.047673996)",51-0181410,9453,https://www.maplevalleycc.org,"Our multi-generational programming focuses on our ""Four Pillars of Service"": Prevention, Health & Wellness, Community, and our Cold Weather Emergency Warming Center.","Arts, Culture, & Humanities",,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=510181410,https://www.guidestar.org/profile/51-0181410,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=510181410,https://www.guidestar.org/profile/51-0181410,,,Children & Youth,Seniors,Economically Disadvantaged People
Seattle ReCreative,"8408 Greenwood Ave N
Seattle, WA 98103
(47.690177, -122.354963032)",46-4879570,10847,https://www.seattlerecreative.org,"We promote creativity, community and environmental stewardship through creative reuse and arts education.","Arts, Culture, & Humanities",,Environment,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=464879570,https://www.guidestar.org/profile/46-4879570,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=464879570,https://www.guidestar.org/profile/46-4879570,,,Children & Youth,Seniors,Economically Disadvantaged People
HopeCentral,"3826 S Othello St
Seattle, WA 98118
(47.537263007, -122.284077025)",27-1098473,10087,https://www.hopecentralhealth.org/,A nonprofit pediatric primary care clinic in South Seattle serving families of all income levels and families with special needs.,Health (General),"Disease, Disorders, & Medical Research","Mental Health, Disabilities, & Substance Abuse",https://www.charitynavigator.org/ein/271098473,https://www.guidestar.org/profile/27-1098473,,,Returning,,,https://www.charitynavigator.org/ein/271098473,https://www.guidestar.org/profile/27-1098473,,,Children & Youth,Economically Disadvantaged People,People With Disabilities
4 Tomorrow,"16305 NE 87th St Ste 115
Redmond, WA 98052
(47.679722708, -122.122534994)",84-2398345,10077,https://www.4tomorrow.today/,"A Latino & Youth focused organization serving East King County, we ensure our community’s overall well-being by providing culturally sensitive support & coordination.",Youth Development,Poverty Relief,"Mental Health, Disabilities, & Substance Abuse",https://www.charitynavigator.org/ein/842398345,https://www.guidestar.org/profile/84-2398345,,,Returning,,,https://www.charitynavigator.org/ein/842398345,https://www.guidestar.org/profile/84-2398345,,,"Latino/Latina/Latinx, Hispanic","Immigrants, Migrants, Refugees",Children & Youth
Northwest Center,"1119 SW 7th St
Renton, WA 98057
(47.473285993, -122.232163037)",91-0786790,9099,https://www.nwcenter.org,"Serves people with disabilities from birth to retirement, providing early learning and therapy for children and employment opportunities for adults.","Mental Health, Disabilities, & Substance Abuse",Housing & Employment,Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910786790,https://www.guidestar.org/profile/91-0786790,https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/northwest-center-in-seattle-wa-72000247,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910786790,https://www.guidestar.org/profile/91-0786790,https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/northwest-center-in-seattle-wa-72000247,,People With Disabilities,Children & Youth,
The Healing Center,"PO Box 22004
Seattle, WA 98122
(47.610365, -122.30839)",91-2054526,9980,https://healingcenterseattle.org/,"Offers a safe, loving place that honors grief and helps individuals move through it and heal.","Mental Health, Disabilities, & Substance Abuse",,,https://www.charitynavigator.org/ein/912054526,,,,Returning,,,https://www.charitynavigator.org/ein/912054526,,,,Children & Youth,Women & Girls,Seniors
