Focus,Best Starts for Kids Strategy,Partner,Project Description/Name,Contract Amount,King County Council Dist
5 - 24,Expanded Learning Strategy,Living Well Kent,"LWK will sustain our proven Pathway to Graduation program, and expand programming with youth mental health services, parent engagement, and summer activities with Expanded Learning Initiative (ELI) funding. Our work will build the resiliency of immigrant and refugee middle school youth in the city of Kent and support their successful transition into high school. Contract End Date: 6/30/25","$   300,000.00","5, 7"
5 - 24,Expanded Learning Strategy,Multimedia Resources and Training Institute (MMRTI),"Working in Partnership with Seattle Housing Authority, Seattle University, Team Read, and The Greater Seattle Bureau of Fearless Ideas Youth Tutoring Program.  Lead agency is Seattle Housing Authority.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25",$   - 0,"2, 4, 8"
5 - 24,Expanded Learning Strategy,Neighborhood House,"Working in Partnership with Cascade Middle School and Dick Scobee Elementary // Afterschool and summer learning programs for K-12th graders, at 3 different locations, providing academic, enrichment and social skills activities, together with programs to increase family engagement. A culturally responsive approach in engaging our youth outside of school time to strengthen their social-emotional learnings through interactive programming.  Contract End Date: 6/30/25","$   900,000.00",7
5 - 24,Expanded Learning Strategy,Open Doors for Multicultural Families,"Friendship Circle is a youth engagement program for young people with intellectual and developmental disabilities. Participants develop positive social emotional well-being, self-sufficiency skills, and self-advocacy skills through self-discovery, friendship and music. Contract End Date: 6/30/25","$   300,000.00","2, 5, 7, 8"
5 - 24,Expanded Learning Strategy,Our Hope (formerly Educational for All),"Education for All (EFA) is a grassroots organization. Our mission is to help the underserved and underrepresented immigrant/refugee communities through methods and means intended to provide equity-based Education, Civic, Engagement, Personal Development, and Community Empowerment. Our Services are prevention-focused and build the strengths of the community we serve. EFA bridges the cultural and linguistic barriers that many African immigrant/refugee families face when accessing other support services. Our primary focus of work is serving children, youth, young adults, and school-aged children. Our community sees an imminent demand for academic and social support for students between K-8th grades through data collection. Due to the Covid-19 pandemic, students experienced educational disruptions and disparities. They lost many opportunities for academic growth along with opportunities to socialize and play with their peers. We work to remediate those disparities through our programs by honoring our communities' needs and providing them with educational and social support. Contract End Date: 6/30/2025","$   300,000.00","6, 9"
5 - 24,Expanded Learning Strategy,Para Los Niños,Fostering academic success for every Latino student through parent and community involvement. Contract End Date: 6/30/25,"$   235,399.00","5, 8"
5 - 24,Expanded Learning Strategy,Renton School District,"Working in Partnership with Construyendo Juntos, Supporting Parents in Education, Team Read, The Silent Task Force, and The Urban Food Systems Urban Family // At Team Read, we believe every child is capable and deserving of becoming a great reader, and every young adult should have access to a meaningful, paid first job. For nearly 25 years, we’ve been closing educational opportunity gaps through our unique after-school program that pairs teacher-referred 2nd to 4th grade students with caring, trained high school reading coaches for a powerful year of peer tutoring that dramatically impacts them both. Contract End Date: 6/30/25","$   900,000.00","2, 5, 8"
5 - 24,Expanded Learning Strategy,Seattle Housing Authority,"Working in Partnership with Multimedia Resources and Training Institute (MMRTI), Seattle University, Team Read, and The Greater Seattle Bureau of Fearless Ideas Youth Tutoring Program // Seattle University recruits, hires, and trains Seattle University students to support scholars attending programming hosted by Seattle Housing Authority. Through supporting Seattle Housing Authority programming at Yesler, Seattle University students provide mentorship to scholars allowing for the strengthening of social, emotional, and academic growth, as well as aiding in nourishing healthy identity development. Contract End Date: 6/30/25","$   900,000.00","2, 4, 8"
5 - 24,Expanded Learning Strategy,Seattle Parks and Recreation,"Working in Partnership with STEM Paths Innovation Network and Tollo Social Purpose Corporation // Seattle Parks and Recreation is a primary service provider of Seattle Public Schools – Northgate Elementary School, which provides academic intervention supports through the Northgate READS and COUNTS (NRC) program. NRC is an enrichment-based program designed to enhance the reading and math skills of identified students in grades 2-5 who attend Northgate Elementary School as determined using school-driven data (academic performance, attendance & behavior). These identified students participate in up to 4 days of programming for up to 32 weeks per school year, they are provided with targeted reading supports for 2nd and 3rd grade taking place on Mondays and Tuesdays and targeted math instruction on Wednesdays and Thursdays for students in grades 2nd thru 5th graders. Wednesday and Thursday programs also include classes focusing on S.T.E.A.M, sports, cooking, dance, etc. Contract End Date: 6/30/25","$   853,637.00","1, 4"
5 - 24,Expanded Learning Strategy,Society of St. Vincent de Paul,This after-school program provides Spanish language and culture programming to Latinx children and youth aged 5-13 to increase their language and literacy skills in Spanish and to deepen their connection to their culture and traditions. The program is delivered by bilingual Spanish-English Latinx staff using a curriculum that centers the experiences and traditions of diverse Latinx national and cultural groups. Contract End Date: 6/30/25,"$   300,000.00","5, 9"
5 - 24,Expanded Learning Strategy,Somali Health Board,"Somali Health Board provides a culturally responsive, student-directed learning experience for Somali youth ages 5-17 through our Youth Soccer Program (YSP). The YSP is a health and leadership program operating year-round after school and on weekends, serving over 100 Somali youth annually. The program utilizes sport (soccer) and culturally reflective adult mentorship to engage youth in individual and community building with a focus on physical, mental, and community health. Contract End Date: 6/30/25","$   288,500.00","5, 9"
5 - 24,Expanded Learning Strategy,South End Stories,"South End Stories (SES) is a Black-led, trauma-informed, anti-racist organization offering arts programming to King County students furthest from educational justice. Throughout the 2022-2023 school year, SES will run an enhanced learning program after school in partnership with Lowell Elementary School and the Downtown Seattle YMCA. SES will offer extracurricular classes which support and encourage identity development, creative expression, and acquisition of career readiness skills in the arts. These classes include theatre and film exploration, photography, and a comic and graphic novel unit. Each class will culminate in a final project and event where students can flex their individual creativity and accomplishments. Lowell students will be bussed to the YMCA after school, and SES will offer programming on select weekdays from 3:30-5:30. The YMCA will provide family-focused programming on Friday nights to include swimming, crafting events, and more. Contract End Date: 6/30/25","$   299,991.00","2, 4, 8"
5 - 24,Expanded Learning Strategy,Southwest Youth & Family Services,"Working in Partnership with Arts Corps and Geeking Out Kids of Color // Arts Corps will partner with Southwest Youth and Families Services New Future sites for after-school arts programming for K-8 youth. These classes will develop artistic, leadership, and other essential skills such as critical thinking, imagination, collaboration, creativity, and will cultivate a growth mindset among youth participants. Classes will span a broad range of creative disciplines including dance, visual arts, theatre, music, and digital media arts. Contract End Date: 6/30/25","$   900,000.00","5, 8"
5 - 24,Expanded Learning Strategy,STEM Paths Innovation Network,"Working in Partnership with Community Day School Association (dba Launch), Amt UP 3D, and Coyote Central.  Lead agency is Community Day School Association.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25",$   - 0,"2, 8"
5 - 24,Expanded Learning Strategy,STEM Paths Innovation Network,Working in Partnership with Seattle Parks and Recreation and Tollo Social Purpose Corporation.  Seattle Parks and Recreation is the lead agency.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25,$   - 0,"1, 4"
5 - 24,Expanded Learning Strategy,Student & Family Support Program,"Our mission is to provide services for students and families leading to academic excellence and social emotional development. We provide tutoring in math, reading and writing during our afterschool program for students K-5. Contract End Date: 6/30/25","$   300,000.00",2
5 - 24,Expanded Learning Strategy,Team Read,"Working in Partnership with Seattle Housing Authority, Multimedia Resources and Training Institute (MMRTI), Seattle University, The Greater Seattle Bureau of Fearless Ideas Youth Tutoring Program.  Lead agency is Seattle Housing Authority.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25",$   - 0,"2, 4, 8"
5 - 24,Expanded Learning Strategy,Team Read,"Working in Partnership with The Renton School District, Construyendo Juntos, Supporting Parents in Education, The Silent Task Force, and The Urban Food Systems Urban Family.  Lead agency is the Renton School District.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25",$   - 0,"2, 5, 8"
5 - 24,Expanded Learning Strategy,The Bureau of Fearless Ideas,"Working in Partnership with Seattle Housing Authority, Multimedia Resources and Training Institute (MMRTI), Seattle University and Team Read.  Lead agency is Seattle Housing Authority.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25",$   - 0,"2, 4, 8"
5 - 24,Expanded Learning Strategy,The Silent Task Force,"Working in Partnership with The Renton School District, Construyendo Juntos, Supporting Parents in Education, Team Read and The Urban Food Systems Urban Family. Lead agency is the Renton School District.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25",$   - 0,"2, 5, 8"
5 - 24,Expanded Learning Strategy,The Urban Food Systems Pact,"Working in Partnership with The Renton School District, Construyendo Juntos, Supporting Parents in Education, Team Read, and The Silent Task Force. Lead agency is the Renton School District.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25",$   - 0,"2, 5, 8"
5 - 24,Expanded Learning Strategy,Tollo Social Purpose Corporation,Working in Partnership with Seattle Parks and Recreation and STEM Paths Innovation Network. Lead agency is Seattle Parks and Recreation.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25,$   - 0,"1, 4"
5 - 24,Expanded Learning Strategy,Urban Impact Community Health Center,"At Out of School Time (OST) Homework Club, we work with children ages 5-13 who live in Emerald City Commons (ECC). In partnership with Mercy Housing Northwest, we have worked to develop an afterschool and summer program built with the primary goal of creating a safe space for the children of the 61 families that we serve in the affordable housing that we own with Mercy Housing Northwest. In our OST program, we hope that they grow in relationship with one another while simultaneously growing academically. Each session, we focus on academic enrichment, providing space for homework help while providing opportunities for academic growth beyond homework. Additionally, each day we work on social-emotional regulation with strategic exercises and activities that foster growth for our children, giving them the opportunities to express themselves fully and healthily while remaining in tune with their feelings and emotions. Contract End Date: 6/30/25","$   189,000.00",2
5 - 24,Expanded Learning Strategy,Wasat,"We anticipate serving up to 20 BIPOC young people ages 5-13 for 32 weeks through twice weekly after school programming that engage creative expression and story telling for identity development, as well as environmental/outdoor activities that integrate community bonding experiences. Designed and led by black refugee and im/migrant educators, the BIPOC young people and their accompanying families will engage in activities of environmental stewardship, culturally-relevant meals, poetry and journaling, and grow in cultural literacy. With the funding we will be expanding the previous youth program to increase from twice a month to twice a week, 3 hours a day, supporting up to 20 BIPOC immigrant/refugee young people ages 5-13. The program is BIPOC led by BIPOC staff who will be compensated equitably for the linguistic competencies in addition to their skills as educators and mentors. Contract End Date: 6/30/25","$   300,000.00","2, 4, 5, 7, 8"
5 - 24,Expanded Learning Strategy,Washington West African Center,"WAWAC'S BIDEWW (STARS) After School Program provides expanded learning opportunities to the West African kids in the state of Washington. These are mostly youths who came to the U.S directly from countries in West Africa or were born in the U.S of West African parents. These youths often find themselves culturally conflicted between the values that their parents might be trying to instill in them and that drawn from larger American society. This as a result, oftentimes create greater risks for deviance and manifestations of anti-social behaviors - emanating from a sense of loss and identity crises for the youths of our community. Our youths are black, African and sons and daughters of immigrants. This means they form part of a highly marginalized constituent who are largely under-catered for regarding access to services/facilities that support them in a culturally informed and value driven way. Our after school program is designed to provide a safe haven that allow these kids to learn relevant values but also acquire mentorship to allow them grow into confident and responsible adults. Our youths are availed a platform to not only get help on their school home-work but also learn important life-skills through science experiments, cooking classes, artistic exploration and a value driven way in a culturally appropriate setting. Watch this video https://www.youtube.com/watch?v=D_eQze7c3-4&t=18s  Contract End Date: 6/30/25","$   298,500.00","1, 4, 5, 7, 8, 9"
5 - 24,Expanded Learning Strategy,Wheellab,Working in Partnership with Bellevue Boys & Girls Club and KidsQuest Children's Museum.  Lead agency is the Bellevue Boys & Girls Club.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25,$   - 0,"6, 9"
5 - 24,Expanded Learning Strategy,YMCA of Greater Seattle,Working in Partnership with Kent Youth and Family Services and Communities of Rooted Brilliance.  The lead agency is Kent Youth and Family Services.  Please see their database entry for project description and award amount. Contract End Date: 6/30/25,$   - 0,"5, 7"
Prenatal - 5,HBS: Community Designed,"BLKBRY, LLC",[COMING SOON] Contract End Date: 6/30/23,"$   566,846.20","1, 3, 2, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Communities of Rooted Brilliance,[COMING SOON] Contract End Date: 6/30/23,"$   786,385.49","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,East African Community Services,[COMING SOON] Contract End Date: 6/30/23,"$   772,087.58","2, 3, 4, 5, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Hummingbird Indigenous Family Services,[COMING SOON] Contract End Date: 6/30/23,"$   754,930.07","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Hummingbird Indigenous Family Services,[COMING SOON] Contract End Date: 6/30/23,"$   566,846.20","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Iraqi Community Center of Washington,[COMING SOON] Contract End Date: 6/30/23,"$   772,087.58","1, 2, 4, 5, 3, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Manos Unidas International,[COMING SOON] Contract End Date: 6/30/23,"$   566,846.20","1, 2, 3, 4, 5, 6, 7, 8"
Prenatal - 5,HBS: Community Designed,Mother Africa,[COMING SOON] Contract End Date: 6/30/23,"$   566,846.20","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Open Arms Perinatal Services,[COMING SOON] Contract End Date: 6/30/23,"$   754,930.07","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Perinatal Support Washington,[COMING SOON] Contract End Date: 6/30/23,"$   566,846.20","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: Community Designed,Society of St. Vincent de Paul,[COMING SOON] Contract End Date: 6/30/23,"$   629,653.92",
Prenatal - 5,HBS: Community Designed,Somali Health Board,[COMING SOON] Contract End Date: 6/30/23,"$   729,193.82","2, 4, 5, 7, 8"
Prenatal - 5,HBS: National Model,Atlantic Street Center,[COMING SOON] Contract End Date: 6/30/23,"$   3,090,900.00","2, 5, 8"
Prenatal - 5,HBS: National Model,Chinese Information and Service Center,[COMING SOON] Contract End Date: 6/30/23,"$   1,453,677.10","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,Congolese Integration Network,[COMING SOON] Contract End Date: 6/30/23,"$   1,159,087.50","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,Denise Louie Education Center,[COMING SOON] Contract End Date: 6/30/23,"$   751,069.89","2, 1, 4, 5, 7, 8, 9"
Prenatal - 5,HBS: National Model,El Centro de la Raza,[COMING SOON] Contract End Date: 6/30/23,"$   1,520,722.80","1, 2, 4, 5, 8"
Prenatal - 5,HBS: National Model,Encompass Northwest,[COMING SOON] Contract End Date: 6/30/23,"$   803,634.00","2, 3, 5, 6, 9"
Prenatal - 5,HBS: National Model,Friends of Youth,[COMING SOON] Contract End Date: 6/30/23,"$   624,493.47","1, 2, 3, 4, 5, 6, 7, 9"
Prenatal - 5,HBS: National Model,Global Perinatal Services,[COMING SOON]. Contract End Date: 6/30/23,"$   698,880.38","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,Horn of Africa Services,[COMING SOON] Contract End Date: 6/30/23,"$   1,529,995.50","2, 5, 7, 8, 9"
Prenatal - 5,HBS: National Model,InterCultural Children & Family Services,[COMING SOON] Contract End Date: 6/30/23,"$   1,081,815.00","1, 2, 4, 5, 3, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,Iraqi Community Center of Washington,[COMING SOON] Contract End Date: 6/30/23,"$   1,174,542.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,Neighborhood House,[COMING SOON] Contract End Date: 6/30/23,"$   3,106,354.50","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,Open Arms Perinatal Services,[COMING SOON] Contract End Date: 6/30/23,"$   751,069.89","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,Southeast Youth & Family Services,[COMING SOON] Contract End Date: 6/30/23,"$   1,159,087.50","2, 4, 5, 7, 8, 9"
Prenatal - 5,HBS: National Model,Southwest Youth & Family Services,[COMING SOON] Contract End Date: 6/30/23,"$   3,090,900.00","2, 4, 5, 7, 8"
Prenatal - 5,HBS: National Model,Vashon Youth & Family Services,[COMING SOON] Contract End Date: 6/30/23,"$   471,666.77",8
Prenatal - 5,HBS: National Model,Voices of Tomorrow,[COMING SOON] Contract End Date: 6/30/23,"$   1,282,723.50","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,HBS: National Model,YWCA Seattle King Snohomish,[COMING SOON] Contract End Date: 6/30/23,"$   1,576,359.00","1, 2, 4, 5, 3, 7, 6, 9, 8"
5 - 24,Healthy & Safe Environments,Boys & Girls Club of King County,"Our goal is to develop policy and systems changes that build Safe and Health-promoting Environments for the more than 8,000 youth we serve annually. With an increased need for mental and behavioral health services across the organization, Boys & Girls Clubs of King County (BGCKC) seeks funding to improve the level of care and range of services we can offer at our 34 King County locations. By bringing licensed mental and behavioral health specialists on staff, we will assess current needs, raise awareness of challenges, and foster healing as we build out systems, policies, and procedures that will inform future behavioral health program delivery. Contract End Date: 12/31/24","$   200,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,Healthy & Safe Environments,Build 2 Lead,The civic champion institute will create systemic change in K-12 educational institutions by revising current corrective action policies to house a Restorative Practices Action Committees (RPAC’s). The RPAC will be a youth and community-led initiative that ensures proper restorative practices are practiced and implemented within Seattle Public Schools and Federal Way Public Schools. Contract End Date: 12/31/24,"$   250,000.00","1, 2, 4, 5, 6, 7"
5 - 24,Healthy & Safe Environments,Cultivate South Park,"The Rainier Beach Beautiful project is a community-led approach to promoting community safety and reducing youth crime and victimization through two non-punitive evidence-based interventions, Community-Wide Positive Behavioral Interventions and Supports (CW-PBIS) and Community-Wide Restorative Justice (CW-RJ). Contract End Date: 12/31/24","$   250,000.00","2, 8"
5 - 24,Healthy & Safe Environments,Empower Youth Network,"Work in collaboration with the school districts and the community to build a Healthy and Safe Snoqualmie Valley with Positive Norms Campaigns that 1) make it possible for youth to maintain the gain in healthy choices against drug use, 2) deepen the community campaign centered around adults connecting with youth in meaningful ways, and 3) by initiating a new youth and community campaign centered on normalizing and destigmatizing seeking help as the population in the Snoqualmie Valley continues to struggle with depression, anxiety, and thoughts of suicide. Contract End Date: 12/31/24","$   200,000.00",3
5 - 24,Healthy & Safe Environments,King County Play Equity Coalition - Seattle Parks Foundation,"The King County Play Equity Coalition is a cross-sector network of 100+ organizations dedicated to challenging and changing systems while raising up physical activity as a central component of healthy youth development. We are requesting funds to support our Shared Learning Action Team Program. Action Teams are the core structure that mobilizes members to engage in collaborative, shared work to address specific systemic issues affecting accessibility and equity in PA for historically underserved youth in King County. The current Shared Learning Action Team is addressing how organizational members’ sports programming can increase the rate of newcomer and immigrant girls’ participation as well as increase female leadership and coaches. The Shared Learning model of the action team encourages collective responsibility and building meaningful, impactful relationships across several sectors – we hope to create iterations of this team with the funding and focus on other youth populations being underserved within each iteration. Contract End Date: 12/31/24","$   205,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,Healthy & Safe Environments,Neighborhood House,"The King County Youth Led Prevention Media Campaign will prevent alcohol, marijuana and/or nicotine (cigarette and vaping) use. The campaign will focus on BIPOC youth and will include a Spanish language component to focus on Latinx youth and young adults who currently have high rates of substance use and risk factors contributing to substance use. A Youth Steering Committee composed of 15-30 diverse youth will lead the development, implementation and evaluation of our proposed media campaign. Contract End Date: 12/31/24","$   200,000.00","2, 5, 7, 8"
5 - 24,Healthy & Safe Environments,Seattle Neighborhood Group,"The Rainier Beach Beautiful project is a community-led approach to promoting community safety and reducing youth crime and victimization through two non-punitive evidence-based interventions, Community-Wide Positive Behavioral Interventions and Supports (CW-PBIS) and Community-Wide Restorative Justice (CW-RJ). Contract End Date: 12/31/24","$   250,000.00","2, 8"
5 - 24,Healthy & Safe Environments,Sustainable Seattle,"The Soil Health and Justice Coalition is a BIPOC-led and community-centric partnership committed to reversing the impacts of environmental racism through community-centered education, research, and action. We believe this starts with demonstrating how unjust food systems impact our environment, communities, and by learning how to identify environmental soil toxins to decrease potential exposure and mitigate any future contaminations. Contract End Date: 12/31/24","$   200,000.00","2, 4, 8"
5 - 24,Healthy & Safe Environments,Tilth Alliance,"Supporting Rainier Beach Youth Stewards, paid youth roles based at Rainier Beach Urban Farm & Wetlands, to undertake youth led consultation and interventions to understand, challenge and improve youth access to locally available healthy food outside of the school system. Encouraging youth participation and leadership across the community food system to challenge organizations to better respond to youth priorities and culture. Investigating the potential for a multi-stakeholder commitment to a Youth Charter for Food Access in Rainier Beach. Contract End Date: 12/31/24","$   225,000.00","2, 5, 8"
5 - 24,Healthy & Safe Environments,Tubman Center for Health & Freedom,"The Tubman Center for Health & Freedom proposes a Community Wellbeing for Youth project using community building and organizing to achieve policy and systems change and increase access to healthy food and increased feelings of safety and wellbeing for BIPOC youth in the Rainier Valley (with possible expansion to South King County in year two). We will carry out this work at the Freedom Clinic at the Rainier Valley Leadership Academy (RVLA), a schoolbased health center we are launching in the fall, and in the broader community. This project reflects our methodology combining 1) innovative health services that uplift community solutions; 2) policy change to replace systems that make us unwell with systems that promote healing and wellness; and, 3) community organizing strategies to build alliances among community organizations in the Black health ecosystem to support the health and wellbeing of the community. By rooting our services in community, we support stronger communal connections that both foster individual wellbeing and build our collective capacity for creating systems change. Contract End Date: 12/31/24","$   240,000.00","2, 8"
Prenatal - 5,Help Me Grow,Afghan Health Initiative,[COMING SOON],"$   550,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Help Me Grow,Chinese Information and Service Center,[COMING SOON],"$   549,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Help Me Grow,Empowering Youth and Families Outreach,[COMING SOON],"$   392,350.00","2, 5, 7, 8, 9"
Prenatal - 5,Help Me Grow,NISO Programs,[COMING SOON],"$   334,255.36","1, 3, 6, 9"
Prenatal - 5,Help Me Grow,Open Arms Perinatal Services,[COMING SOON],"$   550,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Help Me Grow,Para Los Niños,[COMING SOON],"$   434,927.00","5, 8"
Prenatal - 5,Help Me Grow,Perinatal Support Washington,[COMING SOON],"$   549,995.64","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Help Me Grow,South Seattle Women's Health Foundation,[COMING SOON],"$   550,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Help Me Grow,Voices of Tomorrow,[COMING SOON],"$   550,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Youth & Family Homelessness Prevention,Homelessness Prevention,African Community Housing & Development,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   467,707.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,El Centro de la Raza,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   468,685.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Youth & Family Homelessness Prevention,Homelessness Prevention,Generosity on the Go,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   450,656.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Youth & Family Homelessness Prevention,Homelessness Prevention,Indian American Community Services (IACS),Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   410,290.00","1, 2, 3, 5, 6, 7, 8, 9"
Youth & Family Homelessness Prevention,Homelessness Prevention,Iraqi Community Center of Washington,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   402,109.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,Open Doors for Multicultural Families,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   430,003.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,Partner in Employment,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   465,895.00","1, 2, 9, 8, 7, 6, 5, 4, 3"
Youth & Family Homelessness Prevention,Homelessness Prevention,People of Color Against AIDS Network,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   444,877.00","1, 2, 4, 5, 6, 7, 8, 9"
Youth & Family Homelessness Prevention,Homelessness Prevention,Praisealujah Discipleship,Provide rental support to YFHPI households at imminent risk of homelessness. Contract End Date: 12/31/24,"$   1,625,385.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,Reclaiming Our Greatness,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   428,956.00","5, 7, 9, 2, 8"
Youth & Family Homelessness Prevention,Homelessness Prevention,Refugee Women's Alliance (ReWA),Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   428,956.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,Riverton Park United Methodist Church,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   458,699.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Youth & Family Homelessness Prevention,Homelessness Prevention,Solid Ground,Provide rental support to YFHPI households at imminent risk of homelessness. Contract End Date: 12/31/24,"$   1,530,285.00","9, 7, 8, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,The Arc of King County,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   400,456.00","1, 2, 9, 8, 7, 6, 5, 4, 3"
Youth & Family Homelessness Prevention,Homelessness Prevention,Therapeutic Health Services,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   1,530,285.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,Ubumwe Women Association,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   382,311.00","1, 2, 9, 8, 7, 6, 5, 4, 3"
Youth & Family Homelessness Prevention,Homelessness Prevention,United Indians Of All Tribes Foundation,[COMING SOON] Contract End Date: 12/31/24,"$   255,491.00",
Youth & Family Homelessness Prevention,Homelessness Prevention,YMCA of Greater Seattle,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: Contract End Date: 12/31/24,"$   540,331.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Youth & Family Homelessness Prevention,Homelessness Prevention,YouthCare,Provide 1 FTE Case Manager and flexible funds to youth and families at imminent risk of homelessness. Contract End Date: 12/31/24,"$   426,011.00","4, 8, 2, 1, 5"
Prenatal - 5,Infant & Early Childhood MH Coordination,WestEd,[COMING SOON],"$   3,000,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Infant Mortality Prevention,Atlantic Street Center,Teens as Parent Program: Home-based case management; Pre and postpartum health education; Community building. Contract End Date: 12/31/23,"$   62,499.00","1, 2, 3, 4, 5, 6, 7, 9, 8"
Prenatal - 5,Infant Mortality Prevention,Mother Africa,Health care navigation for pregnant people and parents; Case management intended to interrupt chronic stress; Health education. Contract End Date: 12/31/23,"$   62,499.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Infant Mortality Prevention,Open Arms Perinatal Services,"Doula Services: Culturally matched doula services during pregnancy, labor, and the postpartum period, Case management and referral services.  Contract End Date: 12/31/23","$   62,499.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,Infant Mortality Prevention,Rainier Valley Midwives,"Wrap-Around Pregnancy Health: Delivery support, Lactation support, Prenatal care support groups, Health education.  Contract End Date: 12/31/23","$   62,499.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
